vnid,vintage,date,price
1000001,2013,2021-07-01,38
1000232,2008,2012-12-01,18
1000232,2008,2013-01-01,18
1000232,2008,2013-03-01,18
1000232,2008,2013-06-01,18
1000232,2008,2013-09-01,17
1000232,2008,2013-12-01,17
1000232,2008,2014-03-01,27
1000232,2008,2014-06-01,27
1000232,2008,2014-09-01,23
1000232,2008,2014-12-01,25
1000232,2008,2015-01-01,25
1000232,2008,2015-06-01,24
1000232,2008,2015-12-01,33
1000232,2008,2016-01-01,33
1000232,2008,2016-02-01,30
1000232,2008,2016-06-01,33
1000232,2008,2016-09-01,30
1000232,2008,2016-12-01,30
1000232,2008,2017-01-01,30
1000232,2008,2017-03-01,30
1000232,2008,2017-06-01,30
1000232,2008,2017-09-01,32
1000232,2008,2017-12-01,32
1000232,2008,2018-01-01,31
1000232,2008,2018-03-01,37
1000232,2008,2018-06-01,34
1000232,2008,2018-09-01,37
1000232,2008,2018-12-01,33
1000232,2008,2019-01-01,38
1000232,2008,2019-03-01,38
1000232,2008,2019-06-01,38
1000232,2007,2012-03-01,18
1000232,2007,2012-06-01,19
1000232,2007,2012-09-01,18
1000232,2007,2013-03-01,26
1000232,2007,2013-06-01,26
1000232,2007,2013-09-01,24
1000232,2007,2013-12-01,28
1000232,2007,2014-01-01,28
1000232,2007,2014-03-01,33
1000232,2007,2014-06-01,30
1000232,2007,2014-09-01,30
1000232,2007,2014-12-01,24
1000232,2007,2015-03-01,24
1000232,2007,2015-12-01,26
1000232,2007,2016-01-01,25
1000232,2007,2016-02-01,25
1000232,2007,2016-06-01,25
1000232,2007,2016-09-01,25
1000232,2007,2016-12-01,26
1000232,2007,2017-01-01,26
1000232,2007,2017-03-01,26
1000232,2007,2017-06-01,25
1000232,2007,2019-01-01,28
1000232,2007,2019-03-01,29
1000232,2007,2019-06-01,28
1000232,2007,2019-09-01,28
1000232,2007,2019-12-01,29
1000232,2007,2020-01-01,29
1000232,2007,2020-03-01,29
1000232,2007,2021-07-01,39
1000245,2005,2012-01-01,81
1000245,2005,2012-03-01,81
1000245,2005,2012-06-01,81
1000245,2005,2012-09-01,81
1000245,2005,2013-03-01,81
1000245,2005,2013-06-01,82
1000245,2005,2013-09-01,82
1000245,2005,2013-12-01,92
1000245,2005,2014-01-01,92
1000245,2005,2014-03-01,92
1000245,2005,2014-06-01,94
1000245,2005,2014-09-01,94
1000245,2005,2014-12-01,95
1000245,2005,2015-01-01,95
1000245,2005,2015-03-01,95
1000245,2005,2015-06-01,95
1000245,2005,2015-09-01,102
1000245,2005,2015-12-01,94
1000245,2005,2016-01-01,94
1000245,2005,2016-02-01,94
1000245,2005,2016-06-01,94
1000245,2005,2016-09-01,94
1000245,2005,2016-12-01,93
1000245,2005,2017-01-01,93
1000245,2005,2017-03-01,87
1000245,2005,2017-06-01,85
1000245,2005,2017-09-01,81
1000245,2005,2017-12-01,87
1000245,2005,2018-01-01,83
1000245,2005,2018-03-01,82
1000245,2005,2018-06-01,95
1000245,2005,2018-09-01,96
1000245,2005,2018-12-01,101
1000245,2005,2019-01-01,89
1000245,2005,2019-03-01,98
1000245,2005,2019-06-01,97
1000245,2005,2019-09-01,94
1000245,2005,2019-12-01,98
1000245,2005,2020-01-01,98
1000245,2005,2020-03-01,98
1000245,2005,2020-06-01,98
1000245,2005,2020-09-01,95
1000245,2005,2020-12-01,89
1000245,2005,2021-01-01,89
1000245,2005,2021-02-01,88
1000245,2005,2021-03-01,90
1000245,2005,2021-04-01,90
1000245,2005,2021-05-01,90
1000245,2005,2021-06-01,91
1000245,2005,2021-07-01,93
1000245,2005,2021-09-01,93
1000245,2005,2021-10-01,93
1000245,2005,2021-11-01,95
1000245,2005,2021-12-01,92
1000245,2005,2022-01-01,92
1000245,2005,2022-02-01,93
1000245,2005,2022-03-01,94
1000245,2005,2022-04-01,94
1000245,2005,2022-05-01,97
1000245,2005,2022-06-01,92
1000245,2005,2022-07-01,94
1000245,2005,2022-08-01,93
1000245,2005,2022-09-01,96
1000245,2005,2022-10-01,91
1000287,2010,2015-06-01,19
1000287,2010,2016-12-01,41
1000287,2010,2017-01-01,40
1000287,2010,2017-03-01,40
1000287,2010,2017-06-01,40
1000287,2010,2017-09-01,39
1000287,2010,2017-12-01,38
1000287,2010,2018-01-01,38
1000287,2010,2018-03-01,42
1000287,2010,2018-06-01,43
1000287,2010,2018-09-01,47
1000287,2010,2018-12-01,47
1000287,2010,2019-01-01,48
1000287,2010,2019-03-01,48
1000287,2010,2019-06-01,51
1000287,2010,2019-09-01,52
1000287,2010,2019-12-01,52
1000287,2010,2020-01-01,55
1000287,2010,2020-03-01,52
1000287,2010,2020-06-01,52
1000287,2010,2020-09-01,49
1000287,2010,2020-12-01,53
1000287,2010,2021-01-01,53
1000287,2010,2021-02-01,50
1000287,2010,2021-03-01,54
1000287,2010,2021-04-01,56
1000287,2010,2021-05-01,54
1000287,2010,2021-06-01,52
1000287,2010,2021-07-01,51
1000287,2010,2021-09-01,67
1000287,2010,2021-10-01,62
1000287,2010,2021-11-01,51
1000287,2010,2021-12-01,58
1000287,2010,2022-01-01,58
1000287,2010,2022-02-01,57
1000287,2010,2022-03-01,50
1000287,2010,2022-04-01,57
1000287,2010,2022-05-01,54
1000287,2010,2022-06-01,51
1000287,2010,2022-07-01,86
1000287,2010,2022-08-01,91
1000287,2010,2022-09-01,99
1000287,2010,2022-10-01,95
1000287,1990,2009-12-01,79
1000287,1990,2010-12-01,71
1000287,1990,2011-01-01,70
1000287,1990,2012-06-01,100
1000287,1990,2012-09-01,100
1000287,1990,2013-01-01,166
1000287,1990,2013-03-01,197
1000287,1990,2013-06-01,137
1000287,1990,2013-09-01,202
1000287,1990,2013-12-01,191
1000287,1990,2014-01-01,189
1000287,1990,2014-03-01,191
1000287,1990,2014-06-01,181
1000287,1990,2014-12-01,172
1000287,1990,2015-01-01,160
1000287,1990,2015-03-01,160
1000287,1990,2015-06-01,160
1000287,1990,2015-12-01,150
1000287,1990,2016-01-01,150
1000287,1990,2016-02-01,110
1000287,1990,2016-06-01,150
1000287,1990,2016-09-01,150
1000287,1990,2017-03-01,125
1000287,1990,2017-06-01,133
1000287,1990,2017-09-01,133
1000287,1990,2018-01-01,133
1000287,1990,2018-03-01,133
1000287,1990,2018-06-01,133
1000287,1990,2018-09-01,143
1000287,1990,2018-12-01,143
1000287,1990,2019-01-01,147
1000287,1990,2019-03-01,149
1000287,1990,2019-06-01,148
1000287,1990,2019-09-01,158
1000287,1990,2019-12-01,142
1000287,1990,2020-01-01,143
1000287,1990,2020-03-01,133
1000287,1990,2020-06-01,133
1000287,1990,2020-09-01,161
1000287,1990,2020-12-01,188
1000287,1990,2021-03-01,137
1000287,1990,2021-06-01,156
1000287,1990,2021-07-01,127
1000287,1990,2021-09-01,128
1000287,1990,2021-10-01,129
1000287,1990,2021-11-01,129
1000287,1990,2021-12-01,133
1000287,1990,2022-07-01,197
1000287,1990,2022-08-01,202
1000287,1990,2022-09-01,201
1000287,1990,2022-10-01,193
1000287,2008,2016-06-01,41
1000287,2008,2016-09-01,41
1000287,2008,2016-12-01,42
1000287,2008,2017-01-01,42
1000287,2008,2017-03-01,40
1000287,2008,2017-06-01,45
1000287,2008,2017-09-01,44
1000287,2008,2017-12-01,44
1000287,2008,2018-01-01,42
1000287,2008,2018-03-01,42
1000287,2008,2018-06-01,44
1000287,2008,2018-09-01,44
1000287,2008,2018-12-01,44
1000287,2008,2019-01-01,42
1000287,2008,2019-03-01,44
1000287,2008,2019-06-01,46
1000287,2008,2019-09-01,45
1000287,2008,2019-12-01,45
1000287,2008,2020-01-01,44
1000287,2008,2020-03-01,47
1000287,2008,2020-06-01,46
1000287,2008,2020-09-01,46
1000287,2008,2020-12-01,49
1000287,2008,2021-01-01,48
1000287,2008,2021-02-01,51
1000287,2008,2021-03-01,42
1000287,2008,2021-04-01,50
1000287,2008,2021-05-01,40
1000287,2008,2021-06-01,52
1000287,2008,2021-07-01,50
1000287,2008,2021-09-01,50
1000287,2008,2021-10-01,50
1000287,2008,2021-11-01,50
1000287,2008,2021-12-01,53
1000287,2008,2022-01-01,54
1000287,2008,2022-02-01,56
1000287,2008,2022-03-01,56
1000287,2008,2022-04-01,56
1000287,2008,2022-05-01,56
1000287,2008,2022-06-01,60
1000287,2008,2022-07-01,60
1000287,2008,2022-08-01,60
1000287,2008,2022-09-01,60
1000287,2008,2022-10-01,60
1000287,2012,2015-01-01,12
1000287,2012,2015-03-01,12
1000287,2012,2020-03-01,45
1000287,2012,2020-06-01,48
1000287,2012,2020-09-01,47
1000287,2012,2020-12-01,49
1000287,2012,2021-01-01,48
1000287,2012,2021-02-01,49
1000287,2012,2021-03-01,50
1000287,2012,2021-04-01,50
1000287,2012,2021-05-01,50
1000287,2012,2021-06-01,51
1000287,2012,2021-07-01,52
1000287,2012,2021-09-01,50
1000287,2012,2021-10-01,50
1000287,2012,2021-11-01,51
1000287,2012,2021-12-01,54
1000287,2012,2022-01-01,55
1000287,2012,2022-02-01,54
1000287,2012,2022-03-01,51
1000287,2012,2022-04-01,50
1000287,2012,2022-05-01,49
1000287,2012,2022-06-01,49
1000287,2012,2022-07-01,50
1000287,2012,2022-08-01,50
1000287,2012,2022-09-01,50
1000287,2012,2022-10-01,54
1000287,2009,2014-03-01,41
1000287,2009,2014-06-01,41
1000287,2009,2014-09-01,35
1000287,2009,2014-12-01,40
1000287,2009,2015-01-01,42
1000287,2009,2015-03-01,44
1000287,2009,2015-06-01,45
1000287,2009,2015-09-01,42
1000287,2009,2015-12-01,47
1000287,2009,2016-01-01,45
1000287,2009,2016-02-01,45
1000287,2009,2016-06-01,45
1000287,2009,2016-09-01,43
1000287,2009,2016-12-01,42
1000287,2009,2017-01-01,42
1000287,2009,2017-03-01,44
1000287,2009,2017-06-01,43
1000287,2009,2017-09-01,41
1000287,2009,2017-12-01,40
1000287,2009,2018-01-01,41
1000287,2009,2018-03-01,41
1000287,2009,2018-06-01,43
1000287,2009,2018-09-01,47
1000287,2009,2018-12-01,49
1000287,2009,2019-01-01,41
1000287,2009,2019-03-01,42
1000287,2009,2019-06-01,42
1000287,2009,2019-09-01,42
1000287,2009,2019-12-01,40
1000287,2009,2020-01-01,42
1000287,2009,2020-03-01,42
1000287,2009,2020-06-01,53
1000287,2009,2020-09-01,42
1000287,2009,2020-12-01,48
1000287,2009,2021-01-01,53
1000287,2009,2021-02-01,49
1000287,2009,2021-03-01,53
1000287,2009,2021-04-01,53
1000287,2009,2021-05-01,45
1000287,2009,2021-06-01,49
1000287,2009,2021-07-01,50
1000287,2009,2021-09-01,48
1000287,2009,2021-10-01,48
1000287,2009,2021-11-01,52
1000287,2009,2021-12-01,53
1000287,2009,2022-01-01,71
1000287,2009,2022-02-01,61
1000287,2009,2022-03-01,63
1000287,2009,2022-04-01,62
1000287,2009,2022-05-01,55
1000287,2009,2022-06-01,54
1000287,2009,2022-07-01,51
1000287,2009,2022-08-01,54
1000287,2009,2022-09-01,53
1000287,2009,2022-10-01,54
1000287,2011,2018-12-01,45
1000287,2011,2019-01-01,43
1000287,2011,2019-03-01,44
1000287,2011,2019-06-01,43
1000287,2011,2019-09-01,45
1000287,2011,2019-12-01,44
1000287,2011,2020-01-01,44
1000287,2011,2020-03-01,44
1000287,2011,2020-06-01,46
1000287,2011,2020-09-01,47
1000287,2011,2020-12-01,51
1000287,2011,2021-01-01,51
1000287,2011,2021-02-01,50
1000287,2011,2021-03-01,51
1000287,2011,2021-04-01,51
1000287,2011,2021-05-01,52
1000287,2011,2021-06-01,50
1000287,2011,2021-07-01,54
1000287,2011,2021-09-01,52
1000287,2011,2021-10-01,53
1000287,2011,2021-11-01,56
1000287,2011,2021-12-01,56
1000287,2011,2022-01-01,58
1000287,2011,2022-02-01,57
1000287,2011,2022-03-01,57
1000287,2011,2022-04-01,58
1000287,2011,2022-05-01,58
1000287,2011,2022-06-01,58
1000287,2011,2022-07-01,61
1000287,2011,2022-08-01,61
1000287,2011,2022-09-01,63
1000287,2011,2022-10-01,62
1000287,2013,2017-12-01,15
1000287,2013,2018-01-01,15
1000287,2013,2018-03-01,15
1000287,2013,2018-06-01,15
1000287,2013,2018-09-01,17
1000287,2013,2018-12-01,17
1000287,2013,2019-01-01,17
1000287,2013,2019-03-01,20
1000287,2013,2019-06-01,20
1000287,2013,2019-09-01,20
1000287,2013,2021-07-01,45
1000287,2013,2021-09-01,46
1000287,2013,2021-10-01,49
1000287,2013,2021-11-01,48
1000287,2013,2021-12-01,49
1000287,2013,2022-01-01,51
1000287,2013,2022-02-01,49
1000287,2013,2022-03-01,50
1000287,2013,2022-04-01,52
1000287,2013,2022-05-01,53
1000287,2013,2022-06-01,50
1000287,2013,2022-07-01,53
1000287,2013,2022-08-01,54
1000287,2013,2022-09-01,53
1000287,2013,2022-10-01,54
1000287,2007,2012-09-01,31
1000287,2007,2012-12-01,45
1000287,2007,2013-01-01,39
1000287,2007,2013-03-01,38
1000287,2007,2013-06-01,41
1000287,2007,2013-09-01,39
1000287,2007,2013-12-01,39
1000287,2007,2014-01-01,39
1000287,2007,2014-03-01,40
1000287,2007,2014-06-01,36
1000287,2007,2014-09-01,38
1000287,2007,2014-12-01,39
1000287,2007,2015-01-01,44
1000287,2007,2015-03-01,46
1000287,2007,2015-06-01,45
1000287,2007,2015-09-01,47
1000287,2007,2015-12-01,44
1000287,2007,2016-01-01,40
1000287,2007,2016-02-01,39
1000287,2007,2016-06-01,40
1000287,2007,2016-09-01,37
1000287,2007,2016-12-01,36
1000287,2007,2017-01-01,37
1000287,2007,2017-03-01,38
1000287,2007,2017-06-01,38
1000287,2007,2017-09-01,38
1000287,2007,2017-12-01,39
1000287,2007,2018-01-01,40
1000287,2007,2018-03-01,41
1000287,2007,2018-06-01,42
1000287,2007,2018-09-01,42
1000287,2007,2018-12-01,45
1000287,2007,2019-01-01,43
1000287,2007,2019-03-01,43
1000287,2007,2019-06-01,44
1000287,2007,2019-09-01,47
1000287,2007,2019-12-01,43
1000287,2007,2020-01-01,43
1000287,2007,2020-03-01,45
1000287,2007,2020-06-01,45
1000287,2007,2020-09-01,45
1000287,2007,2020-12-01,49
1000287,2007,2021-01-01,52
1000287,2007,2021-02-01,51
1000287,2007,2021-03-01,50
1000287,2007,2021-04-01,53
1000287,2007,2021-05-01,52
1000287,2007,2021-06-01,49
1000287,2007,2021-07-01,50
1000287,2007,2021-09-01,48
1000287,2007,2021-10-01,47
1000287,2007,2021-11-01,46
1000287,2007,2021-12-01,47
1000287,2007,2022-01-01,48
1000287,2007,2022-02-01,49
1000287,2007,2022-03-01,52
1000287,2007,2022-04-01,53
1000287,2007,2022-05-01,55
1000287,2007,2022-06-01,54
1000287,2007,2022-07-01,59
1000287,2007,2022-08-01,59
1000287,2007,2022-09-01,51
1000287,2007,2022-10-01,47
1000359,2016,2018-09-01,28
1000359,2016,2018-12-01,28
1000359,2016,2019-01-01,28
1000359,2016,2019-06-01,28
1000359,2016,2019-09-01,28
1000359,2016,2019-12-01,29
1000359,2016,2020-01-01,35
1000359,2016,2020-03-01,36
1000359,2016,2020-06-01,38
1000359,2016,2020-09-01,33
1000359,2016,2020-12-01,28
1000359,2016,2021-01-01,28
1000359,2016,2021-02-01,28
1000359,2016,2021-03-01,29
1000359,2016,2021-04-01,29
1000359,2016,2021-05-01,29
1000359,2016,2021-06-01,29
1000359,2016,2021-07-01,29
1000359,2016,2021-09-01,29
1000391,2010,2012-06-01,54
1000391,2010,2012-09-01,38
1000391,2010,2012-12-01,36
1000391,2010,2013-01-01,37
1000391,2010,2013-03-01,36
1000391,2010,2013-06-01,43
1000391,2010,2013-09-01,45
1000391,2010,2014-01-01,50
1000391,2010,2015-06-01,31
1000391,2010,2015-09-01,32
1000391,2010,2019-09-01,55
1000391,2010,2019-12-01,51
1000391,2010,2020-01-01,55
1000391,2010,2020-09-01,131
1000391,2010,2020-12-01,83
1000391,2010,2021-01-01,83
1000391,2010,2021-02-01,84
1000391,2010,2021-09-01,97
1000391,2010,2021-10-01,97
1000391,2010,2021-11-01,158
1000391,2010,2021-12-01,157
1000391,2010,2022-01-01,169
1000391,2010,2022-02-01,168
1000391,2010,2022-05-01,184
1000391,2010,2022-06-01,181
1000391,2010,2022-07-01,174
1000391,2010,2022-08-01,178
1000391,2010,2022-09-01,177
1000391,2010,2022-10-01,170
1000535,2019,2021-06-01,45
1000535,2019,2021-07-01,55
1000535,2019,2021-09-01,55
1000535,2019,2021-10-01,48
1000535,2019,2021-11-01,47
1000535,2019,2021-12-01,47
1000535,2019,2022-01-01,47
1000535,2019,2022-02-01,49
1000535,2019,2022-03-01,51
1000535,2019,2022-04-01,50
1000535,2019,2022-05-01,57
1000535,2019,2022-06-01,56
1000535,2019,2022-07-01,57
1000535,2019,2022-08-01,58
1000535,2019,2022-09-01,59
1000535,2019,2022-10-01,59
1000535,2007,2009-06-01,45
1000535,2007,2009-09-01,44
1000535,2007,2009-12-01,54
1000535,2007,2010-01-01,54
1000535,2007,2010-03-01,43
1000535,2007,2010-06-01,44
1000535,2007,2010-09-01,45
1000535,2007,2010-12-01,49
1000535,2007,2011-01-01,44
1000535,2007,2011-02-01,41
1000535,2007,2011-06-01,39
1000535,2007,2012-01-01,36
1000535,2007,2012-03-01,33
1000535,2007,2012-06-01,35
1000535,2007,2012-09-01,31
1000535,2007,2012-12-01,33
1000535,2007,2013-01-01,30
1000535,2007,2013-03-01,24
1000535,2007,2013-06-01,24
1000535,2007,2013-09-01,27
1000535,2007,2013-12-01,36
1000535,2007,2014-01-01,36
1000535,2007,2014-03-01,45
1000535,2007,2014-06-01,45
1000535,2007,2014-09-01,45
1000535,2007,2014-12-01,41
1000535,2007,2015-01-01,41
1000535,2007,2015-03-01,41
1000535,2007,2015-06-01,41
1000535,2007,2015-09-01,41
1000535,2007,2015-12-01,37
1000535,2007,2016-01-01,37
1000535,2007,2016-02-01,37
1000535,2007,2016-06-01,37
1000535,2007,2016-09-01,37
1000535,2007,2016-12-01,37
1000535,2007,2017-01-01,37
1000535,2007,2017-03-01,37
1000535,2007,2017-06-01,37
1000535,2007,2017-09-01,48
1000535,2007,2020-06-01,50
1000535,2007,2021-04-01,46
1000535,2007,2021-06-01,66
1000535,2007,2021-10-01,75
1000535,2004,2007-03-01,32
1000535,2004,2007-09-01,37
1000535,2004,2008-01-01,36
1000535,2004,2008-04-01,32
1000535,2004,2008-06-01,34
1000535,2004,2008-09-01,33
1000535,2004,2008-12-01,27
1000535,2004,2009-01-01,30
1000535,2004,2009-03-01,28
1000535,2004,2009-06-01,32
1000535,2004,2009-09-01,28
1000535,2004,2009-12-01,38
1000535,2004,2010-01-01,38
1000535,2004,2010-03-01,38
1000535,2004,2010-06-01,45
1000535,2004,2010-09-01,40
1000535,2004,2010-12-01,49
1000535,2004,2011-01-01,37
1000535,2004,2011-02-01,35
1000535,2004,2011-06-01,29
1000535,2004,2011-09-01,29
1000535,2004,2012-01-01,27
1000535,2004,2012-03-01,29
1000535,2004,2012-06-01,34
1000535,2004,2012-09-01,37
1000535,2004,2012-12-01,33
1000535,2004,2013-01-01,33
1000535,2004,2013-03-01,33
1000535,2004,2013-06-01,35
1000535,2004,2013-09-01,35
1000535,2004,2013-12-01,37
1000535,2004,2014-01-01,37
1000535,2004,2014-03-01,35
1000535,2004,2014-06-01,35
1000535,2004,2014-09-01,35
1000535,2004,2014-12-01,33
1000535,2004,2015-01-01,33
1000535,2004,2015-03-01,33
1000535,2004,2015-06-01,33
1000535,2004,2015-09-01,33
1000535,2004,2015-12-01,33
1000535,2004,2016-01-01,33
1000535,2004,2016-02-01,33
1000535,2004,2016-06-01,33
1000535,2004,2016-09-01,33
1000535,2004,2016-12-01,33
1000535,2004,2017-01-01,33
1000535,2004,2017-03-01,33
1000535,2004,2017-06-01,31
1000535,2004,2017-09-01,30
1000535,2004,2018-06-01,36
1000535,2004,2018-09-01,35
